Maliyet: 202961
Çalışma Süresi: 2471 milisaniye
TSP Yolu:
(7355, 8602)
(7352, 8662)
(7390, 8725)
(7349, 8733)
(7336, 8793)
(7427, 8787)
(7438, 8767)
(7468, 8789)
(7506, 8831)
(7503, 8912)
(7512, 8932)
(7490, 8962)
(7399, 8978)
(7392, 8897)
(7354, 8855)
(7380, 8937)
(7339, 8965)
(7299, 8953)
(7287, 8993)
(7195, 9009)
(7254, 9052)
(7273, 9073)
(7312, 9105)
(7342, 9127)
(7291, 9125)
(7290, 9165)
(7350, 9178)
(7298, 9206)
(7288, 9195)
(7250, 9133)
(7210, 9131)
(7201, 9101)
(7173, 9059)
(7146, 8987)
(7104, 9005)
(7073, 9024)
(7082, 9065)
(7020, 9083)
(6997, 9142)
(6917, 9119)
(6948, 9110)
(6992, 9041)
(6984, 8990)
(6953, 8989)
(6891, 9026)
(6840, 9044)
(6838, 9085)
(6788, 9072)
(6807, 9114)
(6826, 9135)
(6896, 9158)
(6914, 9189)
(6862, 9237)
(6918, 9331)
(6921, 9260)
(6964, 9212)
(6976, 9172)
(7034, 9225)
(6981, 9283)
(6989, 9334)
(7007, 9395)
(6975, 9414)
(6904, 9421)
(6920, 9513)
(6890, 9512)
(6882, 9471)
(6801, 9467)
(6845, 9388)
(6857, 9338)
(6809, 9296)
(6762, 9213)
(6760, 9253)
(6738, 9283)
(6669, 9259)
(6627, 9278)
(6626, 9308)
(6624, 9369)
(6664, 9370)
(6716, 9342)
(6756, 9354)
(6786, 9345)
(6774, 9395)
(6752, 9425)
(6723, 9403)
(6691, 9442)
(6670, 9472)
(6720, 9484)
(6715, 9595)
(6764, 9627)
(6766, 9577)
(6838, 9560)
(6835, 9610)
(6833, 9661)
(6782, 9669)
(6753, 9647)
(6713, 9635)
(6663, 9633)
(6632, 9632)
(6635, 9571)
(6647, 9531)
(6617, 9520)
(6566, 9528)
(6526, 9526)
(6475, 9534)
(6431, 9613)
(6472, 9605)
(6493, 9575)
(6545, 9557)
(6574, 9569)
(6573, 9609)
(6612, 9621)
(6581, 9640)
(6533, 9597)
(6530, 9648)
(6519, 9667)
(6507, 9717)
(6546, 9759)
(6494, 9788)
(6531, 9860)
(6561, 9881)
(6561, 9871)
(6583, 9842)
(6605, 9792)
(6597, 9752)
(6599, 9701)
(6639, 9713)
(6670, 9684)
(6689, 9725)
(6739, 9727)
(6727, 9788)
(6757, 9779)
(6786, 9810)
(6819, 9761)
(6800, 9720)
(6902, 9694)
(6904, 9664)
(6906, 9603)
(6897, 9583)
(6939, 9554)
(7021, 9538)
(7049, 9579)
(7089, 9581)
(7097, 9642)
(7065, 9681)
(7042, 9731)
(6993, 9698)
(6983, 9708)
(6931, 9726)
(6980, 9778)
(7008, 9830)
(7037, 9852)
(7046, 9882)
(7055, 9913)
(7074, 9924)
(7094, 9945)
(7013, 9942)
(6995, 9900)
(6962, 9960)
(6924, 9897)
(6955, 9888)
(6967, 9849)
